,mass,year,lat,lon
1095,330.0,1898.0,33.7,133.8
1098,95000.0,1897.0,44.4,19.11667
1099,2000.0,1824.0,49.88333,13.91667
1104,246.0,1858.0,51.83333,26.83333
1105,7500.0,1899.0,-15.18333,35.28333
1106,552.0,1875.0,46.93333,21.5
1112,1.2,1840.0,60.43333,22.3
1513,1.0,1883.0,36.9,30.68333
1519,180000.0,1881.0,38.7,-96.1
1620,192.0,1875.0,35.75,-81.25
1624,4100.0,1887.0,44.65,-87.46667
3389,4000.0,1898.0,49.76667,18.25
3394,1.2,1889.0,20.58333,-104.06667
3396,26.6,1898.0,49.65,29.63333
3411,85000.0,1889.0,17.7,-97.0
3428,683000.0,1896.0,30.33333,-109.98333
3430,8940.0,1894.0,44.6,-94.1
3433,28000000.0,1898.0,47.0,88.0
3441,800.0,1839.0,35.58333,-82.53333
3450,2700.0,1846.0,26.0,92.0
4969,3630.0,1867.0,32.63333,-85.5
4970,76000.0,1858.0,38.16667,-79.08333
4971,400000.0,1890.0,48.06667,35.08333
4978,136000.0,1876.0,36.3,-82.88333
4979,6400.0,1842.0,36.3,-82.88333
4981,22000000.0,1863.0,26.2,-107.83333
4985,3200.0,1891.0,41.28333,-77.05
4987,15.0,1867.0,-37.57083,143.82533
4989,42200.0,1892.0,-27.7,115.76667
4996,12000.0,1855.0,-28.08333,-69.33333
4997,200000.0,1845.0,-35.3,144.56667
5022,227000.0,1866.0,39.6,-105.3
5038,33000.0,1888.0,24.9,-105.4
5048,27000.0,1898.0,-37.15,148.91667
5056,2250.0,1843.0,46.75,36.81667
5072,10841.0,1880.0,-29.88333,150.56667
5087,48250.0,1888.0,51.95,62.2
5090,1500000.0,1805.0,49.96667,6.53333
5091,800.0,1839.0,35.58333,-82.35
5101,1400.0,1890.0,-41.18333,148.03333
5121,153300.0,1878.0,29.87861,-96.87222
5129,59000.0,1829.0,49.05,13.76667
5132,6.2,1898.0,-23.5,133.83333
5137,2000.0,1900.0,-31.15,149.11667
5141,500.0,1850.0,37.5,-79.75
5161,823000.0,1810.0,52.5,30.33333
5164,4300000.0,1882.0,37.5825,-99.16361
5166,13600.0,1890.0,35.71667,-81.86667
5230,68000.0,1819.0,42.75,-75.18333
5238,41000.0,1874.0,38.3,-94.36667
5239,41400.0,1867.0,24.5,-104.8
5241,2500.0,1874.0,-25.0,-69.5
5270,16300.0,1818.0,43.2,-78.8
5328,41.0,1879.0,-27.66667,-67.11667
5330,7030.0,1894.0,34.2,-84.48333
5332,8600.0,1875.0,40.9,-123.1
5333,30000000.0,1891.0,35.05,-111.03333
5336,58200000.0,1818.0,76.13333,-64.93333
5337,113900.0,1869.0,-45.28333,-70.48333
5340,392.0,1888.0,-24.0,-69.0
5349,81200.0,1887.0,31.91667,-98.03333
5353,127000.0,1840.0,36.26667,-85.98333
5356,1545000.0,1867.0,30.4,-107.8
5357,723.0,1877.0,37.25,-85.0
5362,10.0,1899.0,-41.5,145.41667
5401,26000.0,1900.0,29.82806,-96.90861
5402,11300.0,1898.0,34.01667,-85.26667
5409,1207.0,1884.0,-26.5,-70.25
5413,1400000.0,1804.0,23.08333,-101.01667
5417,16500.0,1849.0,34.7,-81.2
5423,43000.0,1881.0,59.33333,-136.0
5430,16220.0,1873.0,33.5,-85.66667
5431,24300000.0,1852.0,27.0,-105.1
5433,1500.0,1870.0,39.11667,-84.5
5444,115000.0,1860.0,34.88333,-84.78333
5451,2100000.0,1837.0,28.7,-102.73333
5452,6530.0,1892.0,-22.56667,-70.25
5464,2300.0,1880.0,35.3,-81.73333
5493,19280.0,1874.0,-34.96667,148.125
5499,16800.0,1860.0,36.43333,-87.0
5503,20000.0,1863.0,-27.3,-70.4
5509,1328.0,1884.0,-26.03333,-70.33333
5511,960000.0,1837.0,35.78333,-83.25
5513,35500.0,1881.0,36.83333,-105.23333
5517,61000.0,1896.0,39.2,-98.78333
5519,5560.0,1888.0,-33.85,148.68333
5574,48500.0,1887.0,35.83333,-84.91667
5575,90.0,1852.0,37.23333,-80.73333
5576,8600000.0,1854.0,-38.1,145.3
5587,1500.0,1871.0,22.0,-80.0
5700,53000.0,1879.0,34.8,-84.98333
6816,26300.0,1892.0,39.75,-84.16667
6832,11500.0,1846.0,36.5,-79.75
6833,280.0,1866.0,-33.5,-70.5
6837,76.0,1865.0,36.91667,3.91667
6848,37200.0,1879.0,39.65,-99.68333
6851,5400.0,1856.0,33.0,-97.0
6885,1724.0,1889.0,33.81667,-97.0
9162,112.0,1887.0,38.41667,-106.58333
9170,21800.0,1854.0,35.85,-82.7
9171,11300.0,1873.0,35.85,-82.7
9184,36000.0,1880.0,38.61667,-84.96667
9215,27500.0,1893.0,33.5,-105.5
11610,15200.0,1888.0,-34.5,144.71667
11630,450.0,1854.0,39.71667,-77.3
11634,763.0,1883.0,39.86667,-83.95
11644,290000.0,1883.0,33.9,-101.75
11736,22700.0,1891.0,36.1,-80.2
11737,15900.0,1856.0,44.35,-100.38333
11744,18800.0,1890.0,38.81667,-104.61667
11747,10900.0,1866.0,38.2,-84.83333
11749,108.0,1888.0,38.5,-100.0
12538,7.3,1849.0,32.7,128.85
12594,148.0,1899.0,41.96667,2.81667
12600,26000000.0,1836.0,-25.5,18.0
12603,147000.0,1889.0,-30.38333,147.2
12613,148000.0,1884.0,35.6,-105.8
12615,2700.0,1868.0,26.16667,90.6
12633,51700.0,1883.0,42.96667,-85.76667
13023,5000.0,1880.0,37.83333,-80.31667
15940,1100.0,1822.0,35.56667,-79.83333
15962,16500.0,1856.0,52.28333,8.91667
16314,24000.0,1884.0,44.91667,-92.43333
16317,2000.0,1888.0,32.48333,4.4
16362,270.0,1895.0,45.0,-114.0
16375,60000.0,1882.0,-33.31667,19.61667
16379,3060.0,1894.0,40.33333,-99.03333
16386,12200.0,1887.0,34.36667,-85.43333
16394,1800.0,1889.0,36.55,-79.78333
16495,51700.0,1870.0,-26.0,-70.0
16498,2500.0,1899.0,46.68333,-112.55
16499,920000.0,1822.0,-24.20333,-68.80667
16502,14100.0,1887.0,36.93333,-80.5
16505,15000.0,1887.0,-38.33333,-60.88333
16512,12500.0,1871.0,-20.18333,-69.73333
16513,1500.0,1898.0,31.96667,-97.86667
16514,175000.0,1869.0,53.0,-112.0
16515,1420.0,1889.0,46.07944,-88.55972
16530,58000.0,1880.0,35.33333,-115.31667
16532,450.0,1846.0,36.41667,-85.5
16534,4000.0,1885.0,46.61667,-98.5
16542,12000.0,1883.0,37.9,-82.38333
16545,29600.0,1894.0,38.76667,-100.73333
17250,42600.0,1884.0,35.76667,-91.5
17251,1300.0,1858.0,-24.0,-69.0
17276,30.0,1891.0,36.3,-82.46667
17281,104000.0,1866.0,-26.0,-69.25
17315,115.0,1900.0,51.11667,57.91667
17321,23000.0,1893.0,32.58333,-96.41667
17325,21000.0,1887.0,29.4,-98.5
17328,194000.0,1889.0,38.81667,-84.6
17344,12900.0,1891.0,32.9,-107.73333
17348,5500.0,1899.0,54.86667,50.88333
17354,15900.0,1898.0,10.26667,77.4
17355,490.0,1893.0,33.5,-114.0
17356,1800.0,1862.0,40.48333,-86.36667
17357,341000.0,1884.0,-30.55,29.41667
17390,55300.0,1886.0,-34.15,141.78333
17402,626000.0,1828.0,43.73333,6.78333
17406,50800.0,1860.0,38.4,-85.36667
17409,14540.0,1900.0,41.6,-86.71667
17410,27400.0,1888.0,-19.91667,-69.81667
19725,2150.0,1857.0,34.5,-82.03333
19738,108500.0,1814.0,49.0,21.0
21616,4760.0,1880.0,34.0,-81.25
21618,1240.0,1879.0,35.66667,-80.25
21621,20000.0,1834.0,31.55,-87.51667
21623,442.0,1882.0,35.86667,-81.91667
21639,10000.0,1857.0,33.33333,-84.1
21642,1400.0,1888.0,39.41667,-79.15
21656,564000.0,1891.0,39.93333,-99.6
21668,94800.0,1896.0,26.01667,-111.36667
21672,19500.0,1897.0,19.26667,-97.28333
21702,3000.0,1868.0,34.25,-84.5
21770,20500.0,1885.0,17.9,-77.63333
21772,7000.0,1896.0,34.0,-106.96667
21773,50.0,1878.0,-34.66667,-59.36667
21778,100000.0,1861.0,-27.0,-70.0
22878,168000.0,1854.0,44.5,-77.46667
22880,150000.0,1840.0,49.33333,19.48333
22881,1700.0,1852.0,50.0,8.26667
22887,2300.0,1879.0,-46.31667,168.4
22895,10300.0,1876.0,-23.45,-70.11667
22909,6800.0,1860.0,37.0,-88.25
22911,7140.0,1898.0,31.5,-96.88333
22927,150000.0,1870.0,33.18333,-96.71667
22931,14830.0,1875.0,-23.1,-70.5
22944,42900.0,1884.0,-26.33333,-70.28333
26139,1224.0,1888.0,-18.5,-44.0
26141,89400.0,1857.0,36.55,-93.1
26146,10000.0,1804.0,16.8,-97.1
26149,1700.0,1889.0,29.8,-109.66667
26160,13200.0,1892.0,-30.91667,151.28333
26167,295000.0,1890.0,39.33333,-100.06667
26169,2750.0,1892.0,62.0,7.66667
26171,16300.0,1887.0,36.2,-83.38333
26200,384000.0,1887.0,39.78333,-77.21667
26205,12.5,1897.0,42.7,-77.88333
26207,900.0,1898.0,38.41667,-106.21667
26249,159000.0,1868.0,36.93333,-87.4
26285,5.0,1877.0,47.28333,11.41667
26286,4610.0,1880.0,-34.1,18.46667
26314,51300.0,1897.0,-28.93333,148.95
26317,8600.0,1847.0,35.83333,-86.41667
26321,7700.0,1899.0,35.1,-84.03333
26327,2000.0,1890.0,46.98333,17.7
26338,32200.0,1855.0,-34.25,147.7
26357,73030.0,1856.0,37.75,-85.5
26358,12500.0,1872.0,50.96667,13.95
26360,82000.0,1894.0,38.5,-99.6
26363,250000.0,1846.0,54.23333,35.15
26377,115.0,1879.0,48.0,-97.93333
26383,8.0,1876.0,59.98333,117.58333
26384,20000.0,1895.0,-29.86667,144.21667
26390,3.5,1900.0,51.85,107.91667
26393,300000.0,1875.0,-23.0,-69.0
30955,27700.0,1895.0,38.95,-101.01667
30958,41000.0,1863.0,52.26667,9.1
30961,130.0,1871.0,49.31667,31.51667
30971,156.0,1854.0,33.5,-89.0
31005,148800.0,1855.0,-30.0,25.0
31009,24500.0,1893.0,39.68333,-121.63333
31010,3600.0,1895.0,33.63333,-106.38333
31126,896.0,1895.0,-26.68333,-61.08333
31128,19500.0,1887.0,-26.5,-69.5
31333,4500.0,1885.0,51.16667,77.33333
31981,5000.0,1893.0,35.05,-84.23333
31983,7000.0,1841.0,53.35,87.18333
31984,4300.0,1868.0,-34.78333,144.66667
32001,13600.0,1887.0,29.68333,-98.91667
32002,6175.0,1888.0,-17.3,-45.0
32004,600.0,1850.0,40.43333,-80.0
32021,14000.0,1893.0,41.33333,-86.31667
32045,2900.0,1893.0,39.63333,-100.5
32057,6580.0,1885.0,-27.15,-69.91667
32060,32700.0,1839.0,33.25,-83.25
35519,18200.0,1886.0,47.0,7.83333
35813,46500.0,1882.0,24.11667,-104.3
35977,800000.0,1808.0,32.0,-95.0
35979,2750.0,1899.0,40.25,-100.5
35982,20000.0,1895.0,43.86667,-85.51667
36020,3325.0,1900.0,-34.66667,139.28333
36282,44000.0,1852.0,25.33333,-104.66667
36283,86860.0,1892.0,-22.33333,118.0
36405,2700.0,1896.0,14.6,-88.68333
36417,53070.0,1844.0,34.3,-81.4
36421,50.0,1866.0,39.61667,-85.45
36422,13200.0,1863.0,39.8,-105.5
36425,237200.0,1890.0,32.91667,-104.66667
36733,875.0,1869.0,40.91667,-111.66667
36734,3600.0,1850.0,37.95,-85.78333
36735,6920.0,1894.0,42.53333,-122.875
36736,88000.0,1897.0,31.41667,-100.35
36740,5000.0,1882.0,-23.43333,-69.5
36741,36000.0,1887.0,36.0,-119.0
36742,7500.0,1868.0,23.48333,-104.36667
36813,72.0,1887.0,29.5,-98.5
36881,1316000.0,1872.0,19.21667,-98.3
36882,7000000.0,1875.0,-26.21667,-48.6
36885,825000.0,1810.0,5.91667,-73.0
36890,162000.0,1883.0,41.76611,-8.58361
36891,10880.0,1892.0,36.5,137.0
36894,14000.0,1854.0,48.48333,44.81667
37378,21500.0,1850.0,53.4,18.45
37417,10000.0,1867.0,36.76667,-86.16667
37422,102000.0,1847.0,52.26667,15.55
37428,20.0,1900.0,49.75,14.41667
37442,4000.0,1850.0,42.91667,-76.78333
37444,1500.0,1875.0,-24.55,-69.06667
37481,39000.0,1869.0,38.66667,-120.93333
37482,22700.0,1890.0,36.7,137.36667
37613,26000.0,1898.0,-22.9,-69.35
37619,11600.0,1887.0,41.23333,-104.98333
37622,350.7,1883.0,-31.88333,141.2
37624,1500.0,1838.0,54.3,48.4
37630,14180.0,1847.0,18.31667,73.91667
37665,950.0,1838.0,55.0,35.0
37669,5000.0,1839.0,37.13333,-88.4
37671,5000.0,1863.0,36.41667,-80.0
37673,70500.0,1840.0,35.98333,-85.85
37687,2500.0,1893.0,41.65,-86.21667
37705,217000.0,1873.0,58.61667,98.93333
37708,3600.0,1863.0,37.75,-90.5
37709,244500.0,1888.0,37.96667,-90.31667
37716,43500.0,1869.0,38.21667,-79.05
37720,679.5,1900.0,40.6,-103.18333
37746,1000.0,1890.0,34.2,-86.48333
37767,1500.0,1899.0,34.16667,-115.91667
37779,150.0,1854.0,50.88333,10.51667
37797,510000.0,1864.0,27.71667,-0.25
37886,174000.0,1885.0,34.91667,135.96667
37902,27000.0,1853.0,36.43333,-83.75
37912,1980.0,1891.0,-27.33333,-69.8
38000,218.0,1888.0,33.46667,-82.48333
38006,62100.0,1881.0,-25.7,143.05
38007,5500.0,1888.0,44.75,-77.58333
38053,43000.0,1859.0,32.23333,-88.2
38054,1500.0,1863.0,42.88333,-73.6
38055,11800.0,1886.0,39.08333,-95.11667
38062,22000.0,1891.0,55.88333,89.1
38066,175400.0,1889.0,30.3,-97.7
38067,5900.0,1889.0,30.55556,-97.95278
38068,505000.0,1858.0,43.36667,-88.13333
38077,975000.0,1850.0,31.85,-110.96667
38158,6800.0,1853.0,34.75,-84.0
38200,3828000.0,1861.0,-25.75,-70.5
38212,70.0,1876.0,48.63333,34.36667
38213,18000.0,1854.0,54.76667,113.98333
38217,2950.0,1860.0,-31.7,23.75
38225,14000.0,1890.0,47.91667,4.35
38231,2550000.0,1863.0,21.49972,50.47222
38232,50000.0,1873.0,39.33333,-98.16667
38236,6000.0,1863.0,-41.31667,175.13333
38240,13600.0,1887.0,36.63333,-83.83333
38241,74800.0,1832.0,34.0,-87.16667
38271,38800.0,1898.0,34.25,-112.75
38280,8200.0,1888.0,43.01667,-79.21667
38292,1750.0,1890.0,35.0,-94.0
38299,145000.0,1836.0,34.06667,-98.91667
38330,50000.0,1881.0,-28.5,27.0
38378,22700.0,1858.0,40.76667,-81.95
45662,421000.0,1825.0,17.53333,-97.35
45663,3290.0,1875.0,-32.45,135.55
45680,835.0,1878.0,40.75,-97.5
45684,3800000.0,1884.0,-32.1,117.71667
